"key","en","de"
"daily.page_title","First run of the day","Erster Lauf des Tages"
"daily.save_check","Save daily check","Tageskontrolle speichern"
"daily.save_versions","Save corrected versions","Korrigierte Versionen speichern"
"daily.saved_title","Daily check saved","Tageskontrolle gespeichert"
"daily.step_instrument","Instrument","Gerät"
"daily.summary_instrument","{instrument} (software {software}, firmware {firmware})","{instrument} (Software {software}, Firmware {firmware})"
"daily.versions_saved","Corrected versions saved and logged. No new daily check was started.","Korrigierte Versionen gespeichert und protokolliert. Es wurde keine neue Tageskontrolle begonnen."
"daily.which_instrument","Which instrument are you checking?","Welches Gerät prüfen Sie?"
"date.at","{date} at {time}","{date} um {time}"
"date.format","{day} {month} {year}","{day}. {month} {year}"
"date.months","Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec","Jan.,Feb.,März,Apr.,Mai,Juni,Juli,Aug.,Sept.,Okt.,Nov.,Dez."
"fluid.another","Another lot used in this run? (rare)","Weitere Charge in diesem Lauf verwendet? (selten)"
"fluid.bottle_expiry","Expiry date on the bottle","Verfallsdatum auf der Flasche"
"fluid.corrected_by","Corrected by {by} (was {was}).","Korrigiert von {by} (vorher {was})."
"fluid.correction_hint","When you save, this date is used for this answer and corrects the fluids list for everyone. It is logged with your name.","Beim Speichern wird dieses Datum für diesen Eintrag verwendet und die Flüssigkeitenliste für alle korrigiert. Das wird mit Ihrem Namen protokolliert."
"fluid.correction_note","Note about this correction (optional)","Notiz zu dieser Korrektur (optional)"
"fluid.error_bottle","Please enter the expiry date printed on the bottle.","Bitte geben Sie das auf der Flasche aufgedruckte Verfallsdatum ein."
"fluid.error_compare","Please compare the expiry date with the bottle.","Bitte vergleichen Sie das Verfallsdatum mit der Flasche."
"fluid.error_expired","Lot {lot} expired on {date}, before the experiment date. Choose another lot.","Charge {lot} ist am {date} abgelaufen, vor dem Datum des Experiments. Wählen Sie eine andere Charge."
"fluid.error_no_date","There is no date in the list to match. Answer ""No"" and enter the date on the bottle.","In der Liste steht kein Datum zum Vergleichen. Wählen Sie „Nein“ und geben Sie das Datum auf der Flasche ein."
"fluid.error_same_date","This is the same date as in the list. If it matches the bottle, answer ""Yes"".","Das ist dasselbe Datum wie in der Liste. Wenn es mit der Flasche übereinstimmt, wählen Sie „Ja“."
"fluid.error_same_lot","This is the same lot as above. Choose the other lot that was used.","Das ist dieselbe Charge wie oben. Wählen Sie die andere verwendete Charge."
"fluid.expired_box","Expired before the experiment date, so this lot can't be used. Choose another lot, or answer ""No"" below if the bottle shows a later date.","Vor dem Datum des Experiments abgelaufen – diese Charge kann nicht verwendet werden. Wählen Sie eine andere Charge oder unten „Nein“, wenn auf der Flasche ein späteres Datum steht."
"fluid.expiry_in_list","Expiry date in the list","Verfallsdatum laut Liste"
"fluid.matches","Does the expiry date on the bottle match?","Stimmt das Verfallsdatum auf der Flasche überein?"
"fluid.no_expiry","No expiry date in the list for this lot. Answer ""No"" below and enter the date on the bottle.","Für diese Charge steht kein Verfallsdatum in der Liste. Wählen Sie unten „Nein“ und geben Sie das Datum auf der Flasche ein."
"fluid.system_buffer","System buffer","Systempuffer"
"fluid.system_buffer.remove_second","Remove the second system buffer","Zweiten Systempuffer entfernen"
"fluid.system_buffer.second","Second system buffer","Zweiter Systempuffer"
"fluid.system_fluid","System fluid","Systemflüssigkeit"
"fluid.system_fluid.remove_second","Remove the second system fluid","Zweite Systemflüssigkeit entfernen"
"fluid.system_fluid.second","Second system fluid","Zweite Systemflüssigkeit"
"fluid.title","Which instrument fluids did you use?","Welche Geräteflüssigkeiten haben Sie verwendet?"
"fluid.undo","Undo this correction","Diese Korrektur rückgängig machen"
"fluid.undo_question","Change the expiry date of lot {lot} back to {date} for everyone?","Verfallsdatum von Charge {lot} für alle auf {date} zurücksetzen?"
"fluid.undone","Expiry date changed back and logged.","Verfallsdatum zurückgesetzt und protokolliert."
"form.another","Add another product","Weiteres Produkt erfassen"
"form.next_hint","For the next product, the instrument, fluids and sample preparation stay filled in. You will see them again before saving: change them if they are different.","Für das nächste Produkt bleiben Gerät, Flüssigkeiten und Probenvorbereitung ausgefüllt. Sie sehen sie vor dem Speichern noch einmal: Ändern Sie sie, falls sie abweichen."
"form.notes","Notes about this answer (optional)","Notizen zu diesem Eintrag (optional)"
"form.save","Save answer","Eintrag speichern"
"form.step_fluids","Fluids","Flüssigkeiten"
"form.step_product","Instrument & product","Gerät & Produkt"
"form.step_samples","Samples","Proben"
"header.back_home","Back to home","Zur Startseite"
"landing.checked_on","Checked on {date}","Geprüft am {date}"
"landing.choose_experiment","Choose an experiment...","Experiment wählen ..."
"landing.choose_name","Choose your name...","Namen wählen ..."
"landing.date","Date","Datum"
"landing.error_date","Please choose the date.","Bitte wählen Sie das Datum."
"landing.error_experiment","Please choose the type of experiment.","Bitte wählen Sie die Art des Experiments."
"landing.error_first_run","Please say if this is the first run of the day.","Bitte geben Sie an, ob das der erste Lauf des Tages ist."
"landing.error_future","The date can't be in the future.","Das Datum darf nicht in der Zukunft liegen."
"landing.error_name","Please choose your name.","Bitte wählen Sie Ihren Namen."
"landing.error_run_type","Please say if this is a regular run, a retest or a pre-test.","Bitte geben Sie an, ob es ein regulärer Lauf, ein Wiederholungstest oder ein Vortest ist."
"landing.experiment_type","Type of experiment","Art des Experiments"
"landing.first_run","Is this the first run of the day?","Ist das der erste Lauf des Tages?"
"landing.language","Language","Sprache"
"landing.name","Your name","Ihr Name"
"landing.none_checked","No instrument has had its daily check yet.","Für noch kein Gerät wurde die Tageskontrolle durchgeführt."
"landing.run_type","Type of run","Art des Laufs"
"landing.start","Start","Starten"
"landing.subtitle","Choose your name and the date to get started.","Wählen Sie Ihren Namen und das Datum, um zu beginnen."
"landing.welcome","Welcome!","Willkommen!"
"lot.add","Add lot","Charge hinzufügen"
"lot.add_expired"," Note: it had expired before the experiment date, so it can't be used for it."," Hinweis: Sie war vor dem Datum des Experiments abgelaufen und kann dafür nicht verwendet werden."
"lot.add_question","Add lot {lot} to {item} for everyone? It will be logged with your name.","Charge {lot} für alle zu {item} hinzufügen? Das wird mit Ihrem Namen protokolliert."
"lot.added","Lot {lot} added and logged.","Charge {lot} hinzugefügt und protokolliert."
"lot.added_by","Lot {lot} was added in the app by {by}.","Charge {lot} wurde in der App hinzugefügt von {by}."
"lot.error_exists","Lot {lot} is already in the list.","Charge {lot} ist bereits in der Liste."
"lot.error_expiry","Please choose the expiry date.","Bitte wählen Sie das Verfallsdatum."
"lot.error_number","Please type the lot number.","Bitte geben Sie die Chargennummer ein."
"lot.expires"," (expires {date})"," (verfällt am {date})"
"lot.expiry","Expiry date","Verfallsdatum"
"lot.new_number","New lot number","Neue Chargennummer"
"lot.not_listed","Lot not listed? Add it","Charge nicht in der Liste? Hinzufügen"
"lot.note","Note about this new lot (optional)","Notiz zu dieser neuen Charge (optional)"
"lot.remove","Remove this lot","Diese Charge entfernen"
"lot.remove_question","Remove lot {lot} from {item} for everyone? Records that already use it are kept.","Charge {lot} für alle aus {item} entfernen? Einträge, die sie bereits verwenden, bleiben erhalten."
"lot.removed","Lot {lot} removed and logged.","Charge {lot} entfernt und protokolliert."
"lot.yes_add","Yes, add lot","Ja, Charge hinzufügen"
"lot.yes_remove","Yes, remove lot","Ja, Charge entfernen"
"product.choose","Choose a product...","Produkt wählen ..."
"product.error_instrument","Please choose the instrument (only instruments with a daily check on this date).","Bitte wählen Sie das Gerät (nur Geräte mit Tageskontrolle an diesem Datum)."
"product.error_not_checked","This instrument has no daily check on this date.","Für dieses Gerät gibt es an diesem Datum keine Tageskontrolle."
"product.error_product","Please choose a product.","Bitte wählen Sie ein Produkt."
"product.no_instrument","No instrument has had its daily check on this date yet. Do the first run of the day on the instrument first (Back to home, then answer ""Yes"").","Für noch kein Gerät wurde an diesem Datum die Tageskontrolle durchgeführt. Führen Sie zuerst den ersten Lauf des Tages auf dem Gerät durch (Zur Startseite, dann „Ja“ wählen)."
"product.product","Product","Produkt"
"product.title","Which instrument, product and lot?","Welches Gerät, welches Produkt, welche Charge?"
"run.pretest","Pre-test","Vortest"
"run.regular","Regular","Regulär"
"run.retest","Retest","Wiederholungstest"
"samples.error_minutes","Please enter how many minutes the samples thawed.","Bitte geben Sie ein, wie viele Minuten die Proben aufgetaut wurden."
"samples.error_range","Please check the time: it should be between 1 and 1440 minutes (24 hours).","Bitte prüfen Sie die Zeit: Sie sollte zwischen 1 und 1440 Minuten (24 Stunden) liegen."
"samples.error_thawed","Please say if the samples were thawed.","Bitte geben Sie an, ob die Proben aufgetaut wurden."
"samples.error_vortexed","Please say if the samples were vortexed.","Bitte geben Sie an, ob die Proben gevortext wurden."
"samples.is_thawed","thawed {minutes} min","{minutes} min aufgetaut"
"samples.is_vortexed","vortexed","gevortext"
"samples.minutes","How long did they thaw? (minutes)","Wie lange wurden sie aufgetaut? (Minuten)"
"samples.not_thawed","not thawed","nicht aufgetaut"
"samples.not_vortexed","not vortexed","nicht gevortext"
"samples.thawed","Were the samples thawed?","Wurden die Proben aufgetaut?"
"samples.title","How were the samples prepared?","Wie wurden die Proben vorbereitet?"
"samples.vortexed","Were the samples vortexed?","Wurden die Proben gevortext?"
"summary.corrected","Expiry date of lot {lot} corrected to {date} in the list.","Verfallsdatum von Charge {lot} in der Liste auf {date} korrigiert."
"summary.lot_expires","{lot} (expires {date})","{lot} (verfällt am {date})"
"summary.notes","Notes","Notizen"
"summary.product_lot","{product}, lot {lot}","{product}, Charge {lot}"
"summary.samples","Samples","Proben"
"summary.saved","Answer saved","Eintrag gespeichert"
"version.error_firmware","Please fill in the firmware version.","Bitte geben Sie die Firmwareversion ein."
"version.error_software","Please fill in the software version.","Bitte geben Sie die Softwareversion ein."
"version.firmware","Firmware version","Firmwareversion"
"version.firmware_label","Firmware","Firmware"
"version.firmware_short","firmware","Firmware"
"version.hint","The corrected versions are saved with the button below. They apply for everyone and are logged with your name.","Die korrigierten Versionen werden mit der Schaltfläche unten gespeichert. Sie gelten für alle und werden mit Ihrem Namen protokolliert."
"version.last_changed","Last changed by {by}:","Zuletzt geändert von {by}:"
"version.not_right","Versions not right? Correct them here","Versionen falsch? Hier korrigieren"
"version.software","Software version","Softwareversion"
"version.software_label","Software","Software"
"version.software_short","software","Software"
"version.undo","Undo this change","Diese Änderung rückgängig machen"
"version.undo_question","Change {instrument} back to {versions} for everyone?","{instrument} für alle auf {versions} zurücksetzen?"
"version.undone","Versions changed back and logged.","Versionen zurückgesetzt und protokolliert."
"version.why","Why were they corrected? (optional)","Warum wurden sie korrigiert? (optional)"
